Lateral_G,Front_Cornering_Stiffness,Rear_Cornering_Stiffness
0.1,54173.93444653789,55585.063301703165
0.14827586206896554,54161.797467695724,55583.92499117419
0.19655172413793104,54087.391884468845,55524.170953856235
0.24482758620689657,54020.24491994429,55503.057005231785
0.2931034482758621,53965.408753260854,55423.32732981834
0.3413793103448276,53848.30398219271,55382.23774309845
0.3896551724137931,53765.36779368812,55310.54858960121
0.4379310344827586,53620.16300079883,55221.467204774126
0.4862068965517241,53479.449118368095,55130.725208645476
0.5344827586206896,53353.813742022234,55020.745390258875
0.5827586206896551,53165.90976129165,54910.950551498776
0.6310344827586206,53012.174363124665,54761.767540483175
0.6793103448275862,52796.17036057293,54651.224618161126
0.7275862068965517,52581.88956023603,54482.06596905005
0.7758620689655172,52385.454974227745,54351.547408632534
0.8241379310344827,52126.75178383475,54194.559928329945
0.8724137931034482,51902.217176005324,54011.918922913
0.9206896551724137,51615.413963791165,53835.878599978954
0.9689655172413792,51362.779334140614,53632.33916100253
1.0172413793103448,51047.87610010533,53437.24599543701
1.0655172413793104,50730.830049821954,53198.6340107238
1.113793103448276,50435.49623233011,52998.662114704144
1.1620689655172414,50077.893810453534,52740.07449189545
1.210344827586207,49754.45997114056,52520.126957780325
1.2586206896551726,49368.75752744286,52277.84115067232
1.306896551724138,48978.14455925329,52001.64052466556
1.3551724137931036,48612.01153209903,51740.30187492612
1.403448275862069,48183.609900560055,51443.202815359866
1.4517241379310346,47789.376851584646,51162.81132298896
1.5,47332.875198224516,50834.770364578144
